;Filename;Object ID;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Unnamed: 7
8039;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0169.png;6;Small_fish;46;412;94;425;
8191;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0169.png;7;Small_fish;19;393;81;421;
8411;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0169.png;9;Small_fish;34;329;101;363;
8593;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0169.png;11;Small_fish;0;445;39;462;
8750;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0169.png;12;Small_fish;0;485;58;523;
8962;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0169.png;19;Small_fish;0;431;28;444;
12932;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0034.png;1;Starfish;436;460;475;504;
13058;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0034.png;2;Crab;481;446;525;491;
13185;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0034.png;4;Small_fish;634;524;684;541;
13217;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0034.png;5;Small_fish;576;468;623;485;
24438;2019-03-21_00-58-45to2019-03-21_00-58-55_1-0059.png;24;Jellyfish;167;259;201;326;
11783;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0086.png;3;Starfish;431;459;475;505;
5312;2019-02-22_22-18-13to2019-02-22_22-18-20_1-0087.png;14;Starfish;407;502;481;539;
5383;2019-02-22_22-18-13to2019-02-22_22-18-20_1-0087.png;15;Shrimp;205;392;256;410;
19835;2019-02-22_22-32-01to2019-02-22_22-32-15_1-0008.png;30;Starfish;408;512;489;539;
20045;2019-02-22_22-32-01to2019-02-22_22-32-15_1-0008.png;31;Crab;484;284;545;317;
11606;2019-03-19_17-02-04to2019-03-19_17-02-12_1-0070.png;1;Small_fish;302;492;373;542;
11655;2019-03-19_17-02-04to2019-03-19_17-02-12_1-0070.png;4;Small_fish;195;491;286;535;
11674;2019-03-19_17-02-04to2019-03-19_17-02-12_1-0070.png;6;Small_fish;459;429;534;503;
11689;2019-03-19_17-02-04to2019-03-19_17-02-12_1-0070.png;7;Small_fish;474;483;545;546;
11910;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0213.png;3;Starfish;431;459;475;505;
12040;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0213.png;6;Small_fish;696;386;753;418;
12140;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0213.png;8;Small_fish;636;388;658;420;
12275;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0213.png;7;Small_fish;514;487;563;539;
12366;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0213.png;9;Small_fish;631;473;713;543;
12461;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0213.png;11;Small_fish;712;500;772;541;
12482;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0213.png;10;Small_fish;768;487;811;524;
12661;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0213.png;15;Small_fish;725;487;743;544;
12860;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0213.png;19;Small_fish;777;406;843;443;
23348;2019-03-19_20-53-30to2019-03-19_20-53-39_1-0019.png;8;Starfish;540;477;636;539;
23479;2019-03-19_20-53-30to2019-03-19_20-53-39_1-0019.png;9;Crab;499;471;558;508;
18079;2019-03-07_08-57-30to2019-03-07_08-57-40_1-0078.png;31;Starfish;547;488;575;521;
18080;2019-03-07_08-57-30to2019-03-07_08-57-40_1-0078.png;32;Starfish;172;471;232;520;
18081;2019-03-07_08-57-30to2019-03-07_08-57-40_1-0078.png;33;Starfish;213;498;286;539;
11075;2019-03-19_17-01-06to2019-03-19_17-01-19_1-0085.png;1;Small_fish;23;510;79;542;
11182;2019-03-19_17-01-06to2019-03-19_17-01-19_1-0085.png;3;Small_fish;158;429;230;459;
11289;2019-03-19_17-01-06to2019-03-19_17-01-19_1-0085.png;4;Small_fish;151;461;220;494;
11327;2019-03-19_17-01-06to2019-03-19_17-01-19_1-0085.png;6;Small_fish;45;473;121;511;
11401;2019-03-19_17-01-06to2019-03-19_17-01-19_1-0085.png;7;Small_fish;116;439;159;478;
18746;2019-03-21_03-27-02to2019-03-21_03-27-17_1-0132.png;13;Crab;458;445;533;508;
18920;2019-03-21_03-27-02to2019-03-21_03-27-17_1-0132.png;14;Fish;441;388;486;440;
15594;2019-03-21_03-21-54to2019-03-21_03-22-09_1-0055.png;8;Fish;56;438;205;539;
15415;2019-03-21_03-26-50to2019-03-21_03-27-04_1-0044.png;12;Crab;590;467;678;537;
24565;2019-03-19_22-56-30to2019-03-19_22-56-38_1-0023.png;1;Starfish;699;437;794;514;
2847;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0174.png;20;Small_fish;576;328;600;405;
3048;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0174.png;21;Crab;655;450;685;483;
3258;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0174.png;22;Crab;597;484;650;519;
3463;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0174.png;23;Crab;552;426;582;448;
3511;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0174.png;25;Crab;428;351;463;375;
3557;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0174.png;26;Crab;704;509;740;539;
12947;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0049.png;1;Starfish;436;460;475;504;
13072;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0049.png;2;Crab;480;445;524;492;
13232;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0049.png;5;Small_fish;588;458;635;475;
24991;2019-03-20_06-00-48to2019-03-20_06-00-56_1-0083.png;7;Crab;376;305;426;335;
595;2019-03-21_01-41-04to2019-03-21_01-41-16_1-0045.png;10;Shrimp;266;0;325;44;
12908;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0010.png;1;Starfish;436;460;475;504;
13034;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0010.png;2;Crab;483;448;520;488;
13161;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0010.png;4;Small_fish;669;458;714;475;
13193;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0010.png;5;Small_fish;582;465;629;482;
982;2019-02-26_00-44-33to2019-02-26_00-44-47_1-0193.png;16;Shrimp;556;232;595;258;
1194;2019-02-26_00-44-33to2019-02-26_00-44-47_1-0193.png;17;Starfish;371;413;397;479;
6037;2019-03-19_18-15-37to2019-03-19_18-15-45_1-0034.png;1;Starfish;553;484;629;539;
13299;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;1;Small_fish;365;140;438;162;
13357;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;4;Small_fish;349;159;408;173;
13499;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;7;Small_fish;346;228;399;246;
13589;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;10;Small_fish;375;228;437;259;
13675;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;2;Small_fish;372;232;434;267;
13772;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;5;Small_fish;400;151;470;169;
13873;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;11;Small_fish;337;196;403;224;
13973;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;13;Small_fish;363;266;407;286;
14071;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;14;Small_fish;454;272;504;287;
14206;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;17;Starfish;540;490;620;539;
14306;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;18;Small_fish;533;144;597;159;
14401;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;19;Small_fish;486;102;547;115;
14496;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;23;Small_fish;443;208;498;229;
14585;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;24;Small_fish;553;169;613;189;
14691;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;25;Small_fish;516;224;556;243;
14756;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;26;Small_fish;378;276;439;314;
14867;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;28;Small_fish;503;182;570;206;
15062;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;31;Small_fish;449;245;496;264;
15115;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0038.png;35;Small_fish;419;234;476;252;
3725;2019-03-19_15-42-11to2019-03-19_15-42-25_1-0141.png;33;Small_fish;569;347;627;371;
3825;2019-03-19_15-42-11to2019-03-19_15-42-25_1-0141.png;39;Small_fish;261;500;306;513;
3908;2019-03-19_15-42-11to2019-03-19_15-42-25_1-0141.png;42;Small_fish;370;410;391;444;
4110;2019-03-19_15-42-11to2019-03-19_15-42-25_1-0141.png;43;Starfish;546;487;613;539;
18717;2019-03-21_03-27-02to2019-03-21_03-27-17_1-0103.png;13;Crab;477;438;571;507;
18891;2019-03-21_03-27-02to2019-03-21_03-27-17_1-0103.png;14;Fish;465;376;506;436;
23193;2019-03-21_00-14-36to2019-03-21_00-14-49_1-0054.png;13;Crab;677;493;743;534;
16849;2019-03-19_18-26-35to2019-03-19_18-26-46_1-0051.png;28;Fish;30;92;133;170;
16941;2019-03-19_18-26-35to2019-03-19_18-26-46_1-0051.png;30;Starfish;526;457;638;539;
68;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0071.png;21;Starfish;592;382;638;418;
136;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0071.png;22;Small_fish;759;202;793;232;
217;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0071.png;23;Crab;542;264;576;294;
329;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0071.png;24;Crab;379;307;414;337;
441;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0071.png;25;Crab;484;289;512;309;
553;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0071.png;26;Crab;629;383;653;406;
917;2019-02-26_00-44-33to2019-02-26_00-44-47_1-0128.png;16;Shrimp;388;119;430;155;
1129;2019-02-26_00-44-33to2019-02-26_00-44-47_1-0128.png;17;Starfish;371;413;397;479;
18676;2019-03-21_03-27-02to2019-03-21_03-27-17_1-0062.png;13;Crab;512;442;586;494;
18850;2019-03-21_03-27-02to2019-03-21_03-27-17_1-0062.png;14;Fish;460;360;504;409;
25007;2019-03-20_06-00-48to2019-03-20_06-00-56_1-0099.png;7;Crab;377;311;416;335;
19578;2019-03-20_23-53-40to2019-03-20_23-53-56_1-0224.png;6;Fish;510;342;589;384;
19380;2019-02-20_19-18-56to2019-02-20_19-19-06_1-0088.png;25;Fish;242;39;337;100;
17219;2019-03-06_22-03-36to2019-03-06_22-04-08_1-0277.png;19;Fish;842;435;953;539;
23010;2019-03-20_20-08-39to2019-03-20_20-08-48_1-0041.png;10;Starfish;448;247;491;287;
19214;2019-03-20_23-30-18to2019-03-20_23-30-28_1-0070.png;5;Fish;330;374;441;441;
15745;2019-03-19_11-42-56to2019-03-19_11-43-14_1-0182.png;24;Fish;246;89;489;264;
21176;2019-02-22_22-31-28to2019-02-22_22-31-38_1-0113.png;26;Starfish;414;512;479;539;
21321;2019-02-22_22-31-28to2019-02-22_22-31-38_1-0113.png;28;Crab;471;293;522;333;
25521;2019-03-20_06-47-19to2019-03-20_06-47-29_1-0125.png;13;Starfish;422;396;473;441;
16626;2019-03-20_23-54-24to2019-03-20_23-54-35_1-0063.png;7;Fish;454;400;627;539;
16467;2019-02-20_19-19-23to2019-02-20_19-19-40_1-0081.png;4;Fish;485;29;566;89;
13290;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;1;Small_fish;426;142;489;161;
13348;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;4;Small_fish;385;164;440;181;
13490;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;7;Small_fish;396;215;457;234;
13580;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;10;Small_fish;426;221;493;245;
13666;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;2;Small_fish;422;221;492;246;
13763;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;5;Small_fish;446;156;513;171;
13864;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;11;Small_fish;396;180;458;211;
13964;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;13;Small_fish;397;264;438;279;
14062;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;14;Small_fish;506;279;548;296;
14160;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;16;Small_fish;416;246;459;261;
14197;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;17;Starfish;540;490;620;539;
14297;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;18;Small_fish;599;134;651;154;
14392;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;19;Small_fish;498;122;552;136;
14487;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;23;Small_fish;491;211;552;230;
14576;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;24;Small_fish;603;161;646;185;
14682;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;25;Small_fish;572;202;610;223;
14765;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;26;Small_fish;432;256;484;287;
14858;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;28;Small_fish;573;174;600;193;
15053;2019-03-19_18-01-56to2019-03-19_18-02-13_1-0029.png;31;Small_fish;510;241;568;259;
15305;2019-03-06_22-04-39to2019-03-06_22-04-49_1-0049.png;20;Fish;0;476;189;539;
7313;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0263.png;1;Starfish;399;482;470;535;
7613;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0263.png;3;Crab;599;419;635;445;
8285;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0263.png;7;Small_fish;0;391;30;403;
8687;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0263.png;11;Small_fish;0;487;42;503;
8928;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0263.png;16;Small_fish;0;418;39;440;
9056;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0263.png;19;Small_fish;0;456;56;474;
21167;2019-02-22_22-31-28to2019-02-22_22-31-38_1-0104.png;26;Starfish;414;512;479;539;
21312;2019-02-22_22-31-28to2019-02-22_22-31-38_1-0104.png;28;Crab;471;293;522;333;
2144;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0050.png;15;Starfish;504;453;533;475;
2218;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0050.png;16;Small_fish;317;0;351;51;
2328;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0050.png;17;Crab;439;418;471;466;
2436;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0050.png;18;Crab;556;498;591;538;
2548;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0050.png;19;Crab;650;505;689;533;
2658;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0050.png;20;Crab;720;508;775;539;
16084;2019-02-20_19-23-53to2019-02-20_19-24-12_1-0085.png;6;Fish;140;279;250;335;
6107;2019-03-19_18-15-37to2019-03-19_18-15-45_1-0104.png;1;Starfish;553;484;629;539;
24113;2019-03-21_07-08-28to2019-03-21_07-08-35_1-0070.png;18;Starfish;443;117;470;144;
24114;2019-03-21_07-08-28to2019-03-21_07-08-35_1-0070.png;19;Starfish;456;82;501;105;
24229;2019-03-21_07-08-28to2019-03-21_07-08-35_1-0070.png;20;Crab;553;503;615;539;
24059;2019-03-21_07-08-28to2019-03-21_07-08-35_1-0043.png;18;Starfish;443;117;470;144;
24060;2019-03-21_07-08-28to2019-03-21_07-08-35_1-0043.png;19;Starfish;456;82;501;105;
19889;2019-02-22_22-32-01to2019-02-22_22-32-15_1-0062.png;30;Starfish;408;512;489;539;
20099;2019-02-22_22-32-01to2019-02-22_22-32-15_1-0062.png;31;Crab;415;289;461;312;
1938;2019-03-21_00-29-09to2019-03-21_00-29-17_1-0077.png;9;Small_fish;419;361;446;377;
15309;2019-03-06_22-04-39to2019-03-06_22-04-49_1-0053.png;20;Fish;0;440;293;539;
16705;2019-03-20_23-54-24to2019-03-20_23-54-35_1-0142.png;7;Fish;456;276;533;443;
22327;2019-03-21_04-11-22to2019-03-21_04-11-31_1-0013.png;16;Crab;496;463;524;498;
22466;2019-03-21_04-11-22to2019-03-21_04-11-31_1-0013.png;17;Crab;628;387;681;421;
1026;2019-02-26_00-44-33to2019-02-26_00-44-47_1-0025.png;17;Starfish;371;413;397;479;
17399;2019-03-19_14-30-38to2019-03-19_14-30-50_1-0095.png;27;Fish;458;323;802;539;
7060;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0010.png;1;Starfish;398;477;469;535;
7360;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0010.png;3;Crab;582;443;617;469;
24965;2019-03-20_06-00-48to2019-03-20_06-00-56_1-0057.png;7;Crab;382;308;433;332;
25084;2019-03-20_06-00-48to2019-03-20_06-00-56_1-0057.png;8;Jellyfish;94;313;119;341;
16109;2019-02-20_19-23-53to2019-02-20_19-24-12_1-0110.png;6;Fish;283;246;402;310;
24932;2019-03-20_06-00-48to2019-03-20_06-00-56_1-0024.png;7;Crab;389;303;439;333;
25051;2019-03-20_06-00-48to2019-03-20_06-00-56_1-0024.png;8;Jellyfish;152;146;176;168;
24526;2019-03-20_06-06-02to2019-03-20_06-06-09_1-0060.png;10;Jellyfish;213;377;270;418;
18259;2019-02-22_22-22-16to2019-02-22_22-22-27_1-0049.png;15;Fish;0;454;241;539;
18623;2019-03-21_03-27-02to2019-03-21_03-27-17_1-0009.png;13;Crab;531;442;610;503;
24488;2019-03-21_00-58-45to2019-03-21_00-58-55_1-0109.png;24;Jellyfish;311;345;352;381;
17863;2019-03-07_08-57-30to2019-03-07_08-57-40_1-0016.png;31;Starfish;547;488;575;521;
17932;2019-03-07_08-57-30to2019-03-07_08-57-40_1-0016.png;32;Starfish;172;471;232;520;
17933;2019-03-07_08-57-30to2019-03-07_08-57-40_1-0016.png;33;Starfish;213;498;286;539;
15447;2019-03-21_03-26-50to2019-03-21_03-27-04_1-0076.png;12;Crab;584;460;659;527;
11855;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0158.png;3;Starfish;431;459;475;505;
11985;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0158.png;6;Small_fish;495;491;609;529;
16585;2019-02-20_19-19-23to2019-02-20_19-19-40_1-0199.png;4;Fish;0;392;141;538;
16670;2019-03-20_23-54-24to2019-03-20_23-54-35_1-0107.png;7;Fish;400;310;541;480;
20323;2019-03-19_13-33-15to2019-03-19_13-33-25_1-0141.png;1;Crab;270;252;300;264;
20485;2019-03-19_13-33-15to2019-03-19_13-33-25_1-0141.png;2;Crab;590;439;624;467;
16878;2019-03-19_18-26-35to2019-03-19_18-26-46_1-0080.png;28;Fish;0;180;65;280;
16970;2019-03-19_18-26-35to2019-03-19_18-26-46_1-0080.png;30;Starfish;526;457;638;539;
23733;2019-03-21_04-10-54to2019-03-21_04-11-06_1-0142.png;14;Crab;495;463;522;494;
23895;2019-03-21_04-10-54to2019-03-21_04-11-06_1-0142.png;15;Crab;654;441;704;493;
19730;2019-03-06_22-01-00to2019-03-06_22-01-09_1-0033.png;32;Crab;649;409;690;428;
17009;2019-03-19_18-26-35to2019-03-19_18-26-46_1-0119.png;30;Starfish;526;457;638;539;
25541;2019-03-20_06-47-19to2019-03-20_06-47-29_1-0145.png;13;Starfish;422;396;473;441;
21575;2019-03-21_07-40-40to2019-03-21_07-40-50_1-0023.png;22;Crab;487;439;531;470;
21714;2019-03-21_07-40-40to2019-03-21_07-40-50_1-0023.png;23;Crab;514;331;554;359;
21853;2019-03-21_07-40-40to2019-03-21_07-40-50_1-0023.png;24;Crab;504;285;532;302;
25159;2019-03-20_11-52-23to2019-03-20_11-52-31_1-0058.png;20;Starfish;451;149;519;218;
25231;2019-03-20_11-52-23to2019-03-20_11-52-31_1-0058.png;21;Jellyfish;75;512;135;539;
2197;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0103.png;15;Starfish;504;453;533;475;
2271;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0103.png;16;Small_fish;495;208;571;276;
2381;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0103.png;17;Crab;440;408;472;456;
2489;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0103.png;18;Crab;554;498;589;532;
2601;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0103.png;19;Crab;635;502;673;533;
2711;2019-03-21_05-01-24to2019-03-21_05-01-31_1-0103.png;20;Crab;705;520;748;540;
